"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"S249","n.twin",1,2,"carolinensis","m",59.07,1,4.1,6.12,3.609,5.73,9.442,9.307,11.734,5.21,2.283,7.206,6.534,9.657,6.593,30.515,1.976,3.956,16.937,14.961,11.005,5.975,5.521,11.909,2.411,8.124,9.629,9.414,5.075,17.417,15.684,12.012,6.492
"S250","n.twin",1,2,"carolinensis","m",59.78,1,4.3,6.22,3.758,5.63,9.066,9.1,11.193,5.441,2.308,6.793,6.141,9.229,6.603,29.647,1.83,4.164,17.54,15.71,11.546,6.536,5.558,12.166,2.382,8.055,9.674,9.401,4.871,17.996,16.398,12.518,6.975
"S251","n.twin",1,2,"carolinensis","m",52.25,1,2.4,5,3.193,5.31,8.498,8.323,10.508,4.551,2.023,6.319,5.562,8.45,5.751,27.509,1.618,3.242,14.457,12.84,9.597,4.972,5.041,10.792,2.397,6.385,8.201,7.835,4.193,14.805,13.424,10.437,5.396
"S256","n.twin",1,2,"carolinensis","f",48,1,2.3,4.58,2.909,4.58,7.148,7.261,9.226,4.572,1.711,5.481,4.724,7.252,5.025,23.863,1.451,2.681,12.478,11.027,8.345,4.229,4.427,8.943,2.564,5.965,7.169,7.169,3.904,12.829,11.595,9.082,4.659
"S257","n.twin",1,2,"carolinensis","m",58.66,1,3.9,6.25,3.522,5.583,9.229,9.254,11.474,4.708,2.319,7.028,5.991,9.283,5.872,29.808,1.792,3.725,16.833,15.041,11.316,5.847,5.902,11.694,2.358,7.356,9.432,8.68,4.998,17.23,15.655,12.26,6.359
"S258","n.twin",1,2,"carolinensis","f",43.75,1,1.4,4.12,2.611,4.468,6.827,6.869,8.948,4.312,1.69,5.031,4.364,6.991,4.472,22.854,1.057,2.104,11.291,10.234,8.13,4.212,4.153,8.597,2.104,5.269,6.487,6.71,3.734,11.594,10.77,8.753,4.607
"S259","s.twin",0,0,"carolinensis","m",57.66,0,3.5,6.02,3.272,5.273,8.588,8.529,10.859,4.937,2.203,6.785,5.793,9.033,5.962,27.992,1.665,3.804,16.662,14.996,11.192,6.166,5.429,11.858,2.088,6.873,8.833,8.669,4.753,17.012,15.61,12.032,6.608
"S260","s.twin",0,0,"carolinensis","m",59.25,1,3.6,5.92,3.637,5.794,9.145,9.054,11.345,4.999,2.373,6.611,5.978,9.4,5.589,29.921,1.832,3.812,16.653,14.821,11.01,5.941,5.562,11.669,2.516,7.752,9.327,9.199,4.77,17.098,15.519,11.957,6.401
"S262","s.twin",0,0,"carolinensis","f",46.74,1,1.9,4.68,2.765,4.466,7.344,7.254,8.932,4.377,1.602,5.352,4.695,7.329,5.447,23.507,1.31,2.668,12.165,10.855,8.187,3.92,4.61,8.612,2.59,6,7.162,6.896,3.676,12.53,11.39,8.936,4.33
"S263","s.twin",0,0,"carolinensis","m",56.01,1,2.9,5.34,3.561,5.52,8.721,8.818,11.122,5.066,2.138,6.759,5.966,9.15,5.442,28.924,1.987,3.372,16.238,14.252,10.88,5.959,5.254,11.656,2.56,7.013,8.399,8.373,4.719,16.612,14.854,11.662,6.409
"S264","s.twin",0,0,"carolinensis","f",46.43,1,1.9,4.42,2.798,4.41,7.162,7.095,9.031,4.512,1.625,5.49,4.62,6.98,4.581,23.401,1.281,2.457,11.921,10.64,8.183,4.007,4.409,8.22,2.424,5.254,6.667,6.47,3.839,12.207,11.121,8.836,4.443
"S268","s.twin",0,0,"carolinensis","f",47.02,1,1.7,4.36,2.612,4.417,7.005,6.963,9.103,4.61,1.644,5.185,4.514,7.361,4.689,23.137,1.147,2.34,11.38,10.233,7.893,3.867,4.282,8.035,2.388,5.742,6.699,6.52,3.773,11.736,10.739,8.574,4.303
"S269","s.twin",0,0,"carolinensis","f",46.16,1,1.9,4.79,2.873,4.208,6.786,6.809,8.802,4.868,1.811,5.3,4.494,7.026,4.782,22.669,1.555,2.501,12.122,10.567,8.066,4.007,4.362,9.154,2.454,5.855,6.886,6.888,3.689,12.47,11.114,8.77,4.412
"S270","s.twin",0,0,"carolinensis","m",54.88,1,2.7,5.32,3.39,5.225,8.529,8.511,10.374,4.631,2.109,6.386,5.366,8.364,5.235,27.518,1.474,3.435,14.837,13.362,9.927,4.941,5.289,11.127,2.374,6.506,8.241,8.117,4.715,15.189,13.965,10.749,5.474
"S271","s.twin",0,0,"carolinensis","f",46.5,1,1.7,4.45,2.734,4.347,7.145,7.101,9.166,4.213,1.65,5.364,4.682,7.132,4.852,23.392,1.424,2.284,11.95,10.526,8.242,3.993,4.464,8.962,2.337,5.553,6.731,6.818,3.998,12.268,11.064,8.902,4.466
"S272","s.twin",0,0,"carolinensis","m",54.87,1,2.9,5.27,3.174,4.983,8.563,8.252,10.176,5.072,2.034,6.517,5.404,8.793,5.8,26.896,1.938,3.289,15.34,13.402,10.113,5.118,5.299,10.65,2.199,7.024,8.316,8.246,4.783,15.737,14.022,10.935,5.649
"S273","s.twin",0,0,"carolinensis","f",44.4,1,1.7,4.3,2.426,4.225,6.712,6.663,8.628,4.255,1.549,5.192,4.344,6.886,4.685,21.991,0.876,2.245,10.672,9.796,7.551,3.784,4.024,8.382,2.352,5.853,6.419,6.227,3.589,11.066,10.279,8.205,4.188
"S274","s.twin",0,0,"carolinensis","f",49.19,1,2.1,4.8,2.999,4.368,7.188,7.148,8.857,4.509,1.731,5.268,4.697,7.031,5.569,23.412,1.427,2.465,12.064,10.636,8.172,3.889,4.545,8.752,2.563,5.897,6.91,6.834,3.872,12.419,11.172,8.872,4.345
"S275","hornet",0,0,"carolinensis","f",49.09,1,1.9,4.43,2.967,4.732,7.605,7.508,9.645,4.291,1.621,5.654,5.022,7.514,4.582,24.949,1.189,2.492,12.167,10.977,8.485,4.16,4.57,9.359,2.348,6.177,6.936,6.925,4.009,12.552,11.51,9.166,4.618
"S276","hornet",0,0,"carolinensis","m",54.17,1,2.7,5.35,3.422,5.663,8.873,8.828,11.064,5.038,2.136,6.638,5.773,9.062,5.593,29.022,1.733,3.365,15.144,13.411,10.046,5.427,5.018,10.671,2.405,7.115,8.465,8.369,4.544,15.556,14.049,10.901,5.884
"S277","hornet",0,0,"carolinensis","m",62.29,1,4.4,6.23,4.015,5.537,8.968,8.962,11.457,5.694,2.281,7.117,6.138,9.613,6.942,29.977,1.862,4.095,16.77,14.908,10.813,5.627,5.669,12.385,2.492,8.285,9.806,9.817,5.25,17.274,15.695,11.872,6.209
"S279","hornet",0,0,"carolinensis","m",59.91,1,3.6,6.06,3.57,5.816,9.139,9.092,11.048,4.943,2.408,6.81,6.054,9.469,6.88,29.573,1.774,3.34,16.189,14.415,11.075,5.878,5.582,12.287,2.609,8.488,9.269,9.249,5.198,16.736,15.139,12.005,6.427
"S280","hornet",0,0,"carolinensis","m",57.37,1,3.8,5.9,3.673,5.491,8.875,8.729,10.908,4.744,2.168,6.498,5.504,8.753,6.119,28.947,1.857,3.288,15.812,13.955,10.666,5.571,5.528,11.623,2.382,7.713,8.762,8.761,4.476,16.276,14.626,11.531,6.004
"S281","hornet",0,0,"carolinensis","m",57.44,1,3.5,5.7,3.473,5.373,8.853,8.788,11.266,4.692,2.147,6.651,5.578,9.112,5.867,28.965,1.859,3.651,16.026,14.167,10.516,5.589,5.28,11.742,2.388,7.885,8.823,8.833,5.031,16.504,14.84,11.404,6.129
"S283","hornet",0,0,"carolinensis","f",44.29,1,1.7,4.42,2.77,4.41,6.996,7.099,8.815,4.184,1.851,5.293,4.484,6.976,4.572,22.991,1.359,2.28,11.157,9.798,7.518,3.589,4.163,7.624,2.62,5.783,6.778,6.756,4.036,11.526,10.364,8.247,4.118
"S284","hornet",0,0,"carolinensis","m",60.44,1,3.9,5.8,3.65,5.763,9.176,9.113,11.116,5.414,2.41,6.787,5.936,9.364,6,29.705,1.986,3.688,17.277,15.291,11.602,6.42,5.507,12.706,2.559,8.021,8.731,8.78,5.012,17.736,15.908,12.396,6.892
"S285","hornet",0,0,"carolinensis","f",45.86,1,1.6,4.39,2.774,4.463,7.312,7.165,9.427,4.174,1.728,5.277,4.732,7.341,4.653,23.976,1.349,2.388,11.464,10.115,7.728,3.707,4.312,8.867,2.355,5.795,6.789,6.905,3.675,11.825,10.688,8.44,4.138
"S286","hornet",0,0,"carolinensis","m",57.48,1,3.7,5.68,3.951,6.008,9.24,9.17,11.465,5.227,2.218,6.945,5.821,9.831,5.77,30.664,1.446,3.604,16.536,15.09,11.486,6.127,5.749,11.988,2.565,8.239,9.281,9.325,5.137,17.041,15.794,12.388,6.643
"S287","hornet",0,0,"carolinensis","f",45.58,1,1.8,4.52,2.718,4.519,7.185,6.933,9.07,4.33,1.673,5.148,4.343,7.217,4.683,23.492,1.455,2.316,12.011,10.556,8.24,4.006,4.458,8.498,2.035,6.124,6.624,6.872,3.838,12.395,11.101,8.881,4.442
"S288","hornet",0,0,"carolinensis","m",57.86,1,3,5.76,3.674,5.607,8.863,8.914,11.034,4.65,2.084,6.767,5.743,8.987,5.547,29.178,1.604,3.389,15.732,14.128,10.74,5.581,5.498,11.649,2.483,7.703,8.688,8.782,4.89,16.197,14.795,11.585,6.093
"S290","hook",1,2,"carolinensis","m",57.27,1,2.2,6.16,3.264,5.093,8.524,8.542,10.523,5.239,2.16,6.474,5.521,8.378,5.921,27.404,1.839,3.492,16.143,14.304,10.812,5.5,5.701,11.769,2.682,7.951,9.192,8.882,5.055,16.626,14.977,11.749,6.053
"S292","hook",1,2,"carolinensis","m",56.93,1,3.2,5.85,3.477,5.645,8.848,8.673,11.169,5.04,2.395,6.812,5.618,9.044,5.874,29.139,1.824,3.833,16.525,14.7,10.868,5.788,5.506,12.366,2.505,8.234,9.012,9.086,4.77,17.03,15.387,11.765,6.26
"S294","hook",1,2,"carolinensis","m",57.67,1,3.8,5.92,3.151,5.352,8.567,8.371,10.756,5.365,2.321,6.759,5.717,8.846,6.303,27.826,1.852,3.344,15.743,13.891,10.547,5.594,5.327,11.653,2.208,7.637,8.974,8.961,5.068,16.199,14.595,11.462,6.141
"S295","hook",1,2,"carolinensis","f",48.66,1,2.4,4.58,2.584,4.315,7.193,7.065,8.913,4.783,1.868,5.325,4.478,7.095,5.217,23.005,1.4,2.448,11.767,10.366,7.918,3.658,4.585,8.442,2.317,6.612,7.138,7.097,3.745,12.222,10.957,8.686,4.11
"S297","hook",1,2,"carolinensis","m",57.92,1,3.2,5.6,3.644,5.386,8.712,8.703,10.963,5.077,2.045,6.774,5.803,8.747,6.294,28.705,1.93,3.368,16.222,14.292,10.923,5.829,5.449,11.75,2.211,7.409,8.667,8.754,4.808,16.639,14.947,11.752,6.305
"S298","hook",1,2,"carolinensis","m",57.57,1,3.7,6.09,3.318,5.503,9.006,8.961,11.011,4.998,2.299,6.863,6.178,9.045,6.188,28.838,1.809,3.622,16.051,14.242,10.62,5.677,5.394,11.618,2.762,8.391,9.247,9.437,4.973,16.59,15.003,11.582,6.197
"S299","hook",1,2,"carolinensis","f",45.01,1,2,4.46,2.734,4.323,6.932,6.806,8.886,4.659,1.688,5.098,4.173,6.837,4.646,22.875,1.2,2.406,11.215,10.015,7.609,3.61,4.319,8.096,2.5,6.159,6.924,6.932,3.665,11.63,10.598,8.36,4.048
"S302","hook",1,2,"carolinensis","m",56.76,1,3.4,5.76,3.072,5.415,8.42,8.461,10.688,4.965,2.028,6.54,5.444,8.777,6.021,27.595,1.834,3.557,15.748,13.914,10.357,5.516,5.218,10.811,2.521,7.806,8.684,8.936,4.787,16.225,14.614,11.23,6.014
"S306","hook",1,2,"carolinensis","m",56.03,1,3.4,5.81,3.287,5.664,8.926,8.837,11.25,5.481,2.316,6.839,5.753,9.235,6.427,29.127,1.804,3.687,17.016,15.212,11.525,5.926,6.003,12.789,2.451,8.106,9.534,9.588,5.2,17.492,15.95,12.472,6.472
"S307","hook",1,2,"carolinensis","f",46.24,1,2.1,4.84,2.422,4.265,6.858,6.867,9.271,4.881,1.752,5.372,4.514,7.003,4.907,22.816,1.25,2.213,11.568,10.317,8.104,3.871,4.579,8.908,2.626,6.322,7.395,7.107,3.913,11.992,10.912,8.908,4.337
"S308","hook",1,2,"carolinensis","m",57.33,1,2.4,5.98,3.306,5.367,8.786,8.686,10.696,5.326,2.002,6.865,6.02,8.956,5.791,28.155,1.903,3.522,15.851,13.948,10.426,5.236,5.753,11.33,2.477,8.283,9.524,9.14,4.57,16.383,14.678,11.462,5.713
"S309","hook",1,2,"carolinensis","f",47.37,1,2,4.46,2.79,4.624,7.15,7.214,9.237,4.517,1.733,5.438,4.734,7.4,4.916,23.801,1.338,2.124,11.58,10.241,8.117,4.027,4.38,8.664,2.434,6.077,7.088,7.056,3.969,11.972,10.832,8.857,4.49
"S310","hook",1,2,"carolinensis","f",44.18,1,1.4,4.29,2.868,3.989,6.506,6.41,8.575,4.27,1.54,4.819,4.063,6.524,4.536,21.938,1.215,2.05,10.984,9.768,7.718,3.702,4.231,8.727,2.271,5.405,6.353,6.25,3.697,11.311,10.256,8.346,4.138
"S311","hook",1,2,"carolinensis","m",60.58,1,3.9,6.11,3.526,5.701,9.326,9.136,11.953,5.252,2.471,7.005,6.21,9.118,6.515,30.506,2.074,3.704,17.122,15.048,11.345,6.154,5.593,12.378,2.198,8.363,9.361,9.602,5.198,17.625,15.796,12.273,6.68
"S312","hook",1,2,"carolinensis","m",54.84,1,2.8,5.46,3.275,5.273,8.539,8.36,10.59,4.645,2.135,6.483,5.694,8.869,5.241,27.677,1.693,2.997,14.95,13.257,10.26,5.307,5.296,11.256,2.109,6.726,8.259,8.075,4.509,15.324,13.858,11.06,5.766
"S313","lizard",1,1,"carolinensis","m",60.75,1,4.2,6.02,3.495,6.093,9.856,9.734,11.989,5.181,2.351,7.416,6.455,10.105,6.297,31.433,1.699,3.768,16.497,14.798,11.03,5.61,5.833,12.277,2.545,8.391,9.37,9.259,5.072,17.022,15.505,11.984,6.156
"S316","lizard",1,1,"carolinensis","m",56.91,1,3.2,5.41,3.515,5.81,8.813,8.782,10.783,4.854,2.068,6.682,5.647,8.839,5.756,28.921,1.633,3.249,15.299,13.665,10.416,5.443,5.264,11.102,2.388,7.068,8.128,8.112,4.68,15.701,14.254,11.181,5.925
"S318","lizard",1,1,"carolinensis","m",59.34,1,3.4,5.88,3.373,5.58,9.206,9.179,11.545,4.966,2.224,7.006,6.31,9.522,6.525,29.704,1.468,3.701,16.209,14.741,11.04,5.812,5.636,12.087,2.34,8.041,9.232,9.362,5.064,16.7,15.466,11.966,6.339
"S320","lizard",1,1,"carolinensis","m",58.22,1,3.7,5.76,3.58,5.511,8.683,8.728,10.802,4.971,2.302,6.9,6.007,8.82,6.208,28.576,1.582,3.308,15.797,14.214,10.906,5.515,5.805,12.189,2.192,7.76,8.897,8.74,4.595,16.266,14.871,11.779,5.975
"S323","line.cedars",1,1,"carolinensis","m",55.51,1,3.2,5.68,3.472,5.601,8.728,8.711,11.334,4.952,2.452,6.565,5.653,8.818,6.576,29.135,1.91,3.293,16.313,14.404,11.11,5.578,5.934,11.536,2.571,7.924,8.868,8.769,4.58,16.788,15.056,11.963,6.029
"S324","line.cedars",1,1,"carolinensis","m",54.12,1,2.8,5.33,3.763,5.768,8.92,8.866,10.978,5.128,2.402,6.651,5.6,8.436,5.707,29.429,1.74,3.185,15.193,13.453,10.267,5.2,5.368,10.906,2.516,6.954,8.295,8.103,4.746,15.586,14.05,11.073,5.717
"S325","line.cedars",1,1,"carolinensis","m",57.66,1,3.5,5.9,3.445,5.309,8.332,8.452,10.725,5.11,2.084,6.325,5.423,8.831,6.827,27.811,1.931,3.161,16.356,14.425,11.263,6.143,5.494,11.658,2.71,7.347,9.038,8.916,5.06,16.763,15.098,12.136,6.644
"S327","line.cedars",1,1,"carolinensis","m",57.71,1,3.6,5.74,3.615,5.468,8.718,8.692,10.903,5.247,1.962,6.643,5.548,8.895,6.147,28.704,1.686,3.587,15.82,14.134,10.547,5.41,5.526,11.462,2.432,7.873,8.814,8.876,4.742,16.303,14.814,11.431,5.907
"S328","line.cedars",1,1,"carolinensis","m",55.1,1,3.4,5.73,3.389,5.297,8.329,8.411,10.382,4.524,2.127,6.235,5.542,8.163,5.847,27.397,1.57,3.222,15.3,13.73,10.508,5.324,5.63,11.27,2.448,7.945,9.007,8.915,4.619,15.807,14.435,11.432,5.803
"S329","line.cedars",1,1,"carolinensis","m",54.96,1,3.4,5.61,3.05,5.365,8.416,8.373,10.561,4.855,2.137,6.331,5.631,8.548,6.049,27.392,1.678,3.503,15.19,13.512,10.008,4.881,5.57,10.857,2.53,7.852,9.053,8.79,4.704,15.689,14.209,10.984,5.418
"S330","line.cedars",1,1,"carolinensis","f",47.94,1,2,4.65,2.789,4.447,7.061,7.074,8.811,4.537,1.862,5.308,4.6,7.087,4.571,23.108,1.232,2.453,11.849,10.616,8.164,4.01,4.468,8.682,2.264,6.138,6.986,6.891,3.689,12.24,11.162,8.88,4.415
"S333","line.cedars",1,1,"carolinensis","m",50.67,1,2.1,4.87,3.087,4.948,7.73,7.867,9.387,4.067,2.068,5.786,5.019,7.515,5.27,25.152,1.559,2.707,13.256,11.697,8.99,4.26,5.022,9.821,2.448,6.722,7.749,7.749,4.41,13.675,12.322,9.789,4.797
"S334","line.cedars",1,1,"carolinensis","f",49.83,1,2.5,4.82,2.876,4.761,7.407,7.603,9.548,4.914,1.919,5.763,4.857,7.467,6.499,24.592,1.354,2.668,12.741,11.387,8.719,4.261,4.776,9.316,2.289,6.453,7.443,7.467,4.013,13.143,11.984,9.48,4.71
"S335","line.cedars",1,1,"carolinensis","m",57.65,1,3.2,5.93,3.523,5.32,9.089,8.915,10.952,5.05,2.233,6.903,5.82,9.035,6.006,28.884,1.949,3.405,16.46,14.512,11.107,5.854,5.55,11.694,2.587,7.812,8.767,8.876,5.185,16.917,15.175,11.94,6.402
"S336","line.cedars",1,1,"carolinensis","f",51.08,1,2.6,4.66,3.065,4.5,7.612,7.749,9.45,4.784,1.944,5.455,4.823,7.536,5.078,24.627,1.482,2.297,12.071,10.589,8.292,3.996,4.606,9.191,2.355,6.48,7.208,7.281,3.883,12.498,11.197,9.041,4.443
"S339","yin",1,1,"carolinensis","m",63.32,1,4.7,6.34,4.001,6.033,9.603,9.509,11.836,5.49,2.579,7.424,6.533,9.83,7.105,31.473,2.095,3.866,17.633,15.538,11.672,6.111,6,12.29,2.386,8.106,9.916,9.828,5.436,18.093,16.297,12.682,6.688
"S341","yin",1,1,"carolinensis","m",57.44,1,3.6,6.18,3.603,5.438,8.649,8.833,10.687,5.363,2.268,6.577,5.745,8.732,6.497,28.377,1.807,3.374,16.322,14.515,11.14,5.912,5.701,11.563,2.366,7.792,9.302,9.219,4.762,16.781,15.229,12.072,6.374
"S345","yin",1,1,"carolinensis","m",59.53,1,2.9,6.06,3.654,5.901,8.982,8.904,11.17,5.332,2.471,6.799,5.989,9.057,6.708,29.707,1.825,3.283,16.265,14.44,11.157,5.517,6.112,11.22,2.285,8.087,9.728,9.182,5.018,16.76,15.153,12.171,6.061
"S346","yin",1,1,"carolinensis","m",58.43,1,3.8,6.17,3.463,5.486,8.94,9.135,11.065,5.021,2.404,6.762,5.785,9.118,6.12,28.954,1.789,3.733,16.96,15.171,11.438,6.051,5.788,11.71,2.178,7.466,9.261,9.161,5.031,17.366,15.848,12.34,6.553
"S347","yin",1,1,"carolinensis","m",56.36,1,3.3,5.88,3.541,5.508,9.177,9.277,10.932,5.128,2.37,6.91,5.871,8.758,6.346,29.158,1.722,3.423,16.025,14.303,10.88,5.771,5.596,11.819,2.388,7.343,9.246,9.246,4.675,16.44,15.031,11.821,6.227
"S350","yin",1,1,"carolinensis","f",49.64,1,2.2,4.8,3.031,4.502,7.168,7.037,9.148,5.54,1.921,5.498,4.699,7.575,5.411,23.849,1.269,2.559,12.541,11.272,8.713,4.109,4.826,9.394,1.963,5.808,6.857,7.003,3.961,12.873,11.803,9.363,4.562
"S351","yin",1,1,"carolinensis","f",51.89,1,2.6,4.73,3.106,4.856,7.653,7.653,9.661,5.107,1.733,5.595,4.77,7.803,5.744,25.276,1.312,2.697,12.56,11.248,8.551,4.067,4.746,10.085,2.595,6.863,7.535,7.41,4.405,13.021,11.843,9.345,4.627
"S352","yin",1,1,"carolinensis","m",59.87,1,4.2,6.11,3.634,5.711,9.269,9.372,11.52,5.259,2.287,6.877,5.996,9.358,6.813,30.134,1.999,3.713,17.142,15.143,11.43,6.142,5.709,12.382,2.192,7.715,9.524,9.236,5.238,17.571,15.832,12.382,6.677
"S353","yin",1,1,"carolinensis","m",61.16,1,4.4,6.4,3.654,5.469,8.993,9.092,11.232,5.626,2.343,6.875,6.051,9.384,6.902,29.348,1.97,3.76,17.183,15.213,11.453,5.967,5.888,12.132,2.388,7.925,9.531,9.372,5.259,17.634,15.919,12.405,6.521
"S355","channel",1,2,"carolinensis","m",55.31,1,2.9,5.5,3.171,5.125,8.074,8.097,10.181,4.855,2.136,6.112,5.145,8.419,5.841,26.551,1.45,3.491,16.097,14.648,11.156,5.622,5.888,11.638,2.59,8.266,8.843,8.798,4.826,16.619,15.294,12,6.118
"S357","channel",1,2,"carolinensis","m",58.54,1,3.4,5.91,3.775,5.477,8.973,8.934,11.006,4.946,2.347,6.841,5.726,9.028,6.087,29.231,1.948,3.157,17.339,15.391,12.233,6.14,6.48,12.374,2.564,7.9,9.442,9.309,5.034,17.783,16.079,13.113,6.636
"S361_T018","s.twin",0,0,"carolinensis","m",61.86,0,3.4,6.22,4.179,5.847,9.654,9.738,12.149,5.282,2.388,7.248,6.228,10.312,6.518,31.829,2.082,3.851,17.415,15.334,11.482,6.067,5.891,12.43,2.521,7.624,9.737,9.173,5.104,17.828,16.005,12.472,6.582
"S362","s.twin",0,0,"carolinensis","m",56.99,1,3,5.4,3.496,5.255,8.542,8.473,10.726,5.128,2.112,6.535,5.241,8.517,5.453,28.019,1.809,3.476,15.949,14.14,10.664,5.57,5.456,11.236,2.285,6.761,8.762,8.575,4.857,16.304,14.776,11.529,6.077
"S363","s.twin",0,0,"carolinensis","f",49.57,1,2.5,4.66,2.956,4.605,7.213,7.296,9.226,4.727,1.731,5.54,4.589,7.453,5.375,24,1.427,2.665,12.756,11.329,8.663,4.24,4.714,9.52,2.577,6.105,7.238,7.047,4,13.116,11.864,9.389,4.688
"S364","s.twin",0,0,"carolinensis","m",56.37,1,3.5,5.64,3.444,5.644,9.193,9.141,11.314,5.08,2.402,7.014,6.215,9.185,5.897,29.595,1.758,3.71,16.368,14.61,10.9,5.643,5.747,11.653,2.31,7.656,9.1,8.921,4.489,16.81,15.276,11.812,6.073
"S365","s.twin",0,0,"carolinensis","m",57.02,1,3.2,5.6,3.242,5.39,9.105,9.255,11.424,4.611,2.342,7.056,6.026,9.203,5.793,29.161,1.831,3.544,16.697,14.866,11.322,6.19,5.496,12.368,2.294,7.183,8.93,8.718,4.997,17.079,15.492,12.171,6.675
"S366","channel",1,2,"carolinensis","m",57.51,1,2.9,5.87,3.263,5.329,8.72,8.559,10.536,4.805,2.029,6.267,5.498,8.108,6.167,27.848,1.72,3.315,17.054,15.334,12.019,6.316,6.031,13.142,2.198,7.158,8.728,8.659,4.803,17.425,15.933,12.787,6.757
"S367","channel",1,2,"carolinensis","f",46.38,1,1.6,4.34,2.702,4.37,6.871,6.843,8.883,4.23,1.664,4.971,4.447,6.918,4.488,22.826,1.472,1.958,12.066,10.594,8.636,4,4.891,9.244,2.478,6.225,6.888,6.771,3.814,12.461,11.121,9.297,4.431
"S368","channel",1,2,"carolinensis","f",44.11,1,1.6,4.22,2.801,4.159,6.488,6.504,8.315,3.987,1.567,4.662,4.003,6.414,4.516,21.763,1.146,1.962,11.185,10.039,8.077,4.064,4.248,8.634,2.198,5.669,6.626,6.236,3.838,11.539,10.512,8.73,4.495
"S371","n.twin",1,2,"carolinensis","m",58.22,1,3.3,5.89,3.553,5.408,8.798,8.763,11.285,4.999,1.98,6.498,5.685,9.16,5.341,29.044,1.523,3.588,15.89,14.367,10.779,5.689,5.522,11.473,2.42,7.506,8.944,8.944,4.662,16.327,15.047,11.67,6.148
"S372","n.twin",1,2,"carolinensis","m",60.82,1,3.7,6.22,3.786,5.886,9.714,9.722,12.141,5.453,2.227,7.328,6.351,9.656,6.411,31.527,1.984,3.869,17.646,15.661,11.792,6.461,5.773,12.735,2.366,7.266,9.435,8.964,5.008,18.016,16.29,12.701,6.929
"S375","n.twin",1,2,"carolinensis","m",58.11,1,3.2,5.94,3.29,5.362,8.83,8.682,10.861,5.024,1.912,6.84,5.838,9.064,5.694,28.343,1.673,3.707,16.523,14.85,11.142,6.144,5.405,11.691,2.263,7.888,9.193,9.076,5.08,16.987,15.528,12.053,6.649
"S376","n.twin",1,2,"carolinensis","f",47.9,1,2.1,4.6,2.692,4.477,7.207,7.159,9.341,4.964,1.675,5.496,4.522,7.317,5.195,23.717,1.223,2.738,12.734,11.511,8.772,4.433,4.647,9.338,2.452,6.037,7.36,6.98,4.06,13.087,12.028,9.513,4.876
"S378","n.twin",1,2,"carolinensis","m",57.98,1,3.4,5.78,3.704,5.697,9.318,9.077,11.647,4.831,2.099,7.208,6.073,9.642,5.809,30.366,1.793,3.721,16.709,14.916,11.195,5.973,5.61,12.391,2.546,7.221,9.071,9.079,4.964,17.094,15.591,12.079,6.469
"S381","n.twin",1,2,"carolinensis","f",48.46,1,2,4.61,2.815,4.279,7.233,7.095,9.113,4.464,1.707,5.405,4.679,7.468,5.08,23.44,1.421,2.332,12.6,11.179,8.848,4.331,4.766,8.963,2.29,5.982,7.045,7.068,4.019,12.95,11.725,9.523,4.774
"S382","channel",1,2,"carolinensis","f",43.81,1,1.6,4.33,2.44,4.181,6.527,6.535,8.296,4.194,1.518,4.901,4.147,6.565,4.173,21.444,1.119,1.954,11.142,10.023,8.07,3.918,4.391,8.311,2.293,4.77,6.398,6.405,3.544,11.395,10.523,8.681,4.3
"S383","osprey",0,0,"carolinensis","m",58.52,1,3.4,5.69,3.51,5.421,9.031,9.009,11.413,5.209,2.049,6.834,5.669,8.957,6.139,29.375,1.66,3.243,16.679,15.019,11.776,6.338,5.749,12.682,2.285,6.962,8.868,8.488,5.143,17.038,15.607,12.583,6.84
"S384","osprey",0,0,"carolinensis","m",55.31,1,2.7,5.23,3.332,5.057,8.273,8.276,10.2,4.572,2.237,6.373,5.491,8.224,5.946,26.862,1.554,3.192,15.652,14.098,10.906,6.047,5.155,11.286,2.342,7.113,8.222,8.263,4.777,16.051,14.691,11.655,6.502
"S385","osprey",0,0,"carolinensis","m",58.64,1,3.2,5.55,3.339,5.765,9.31,9.204,11.48,5.386,2.253,7.143,6.161,9.112,6.283,29.894,1.683,3.458,16.923,15.24,11.782,6.588,5.573,12.594,2.698,8.467,8.951,9.335,4.91,17.444,15.939,12.603,7.031
"S386","osprey",0,0,"carolinensis","m",55.29,1,3.2,5.38,3.356,5.413,8.284,8.305,10.698,4.853,2.129,6.59,5.469,8.589,5.849,27.751,1.682,3.243,16.212,14.53,11.286,6.125,5.517,12.223,2.434,7.262,8.621,8.801,4.746,16.613,15.181,12.081,6.568
"S387","osprey",0,0,"carolinensis","m",56.29,1,3,5.42,3.501,5.609,8.526,8.541,10.823,4.895,2.109,6.571,5.615,8.382,5.985,28.459,1.488,3.317,15.813,14.325,11.008,5.769,5.55,12.112,2.219,6.926,8.472,8.364,4.806,16.188,14.923,11.795,6.25
